videoId,channelTitle,publishedAt,channelId,title,description,thumbnails,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,scrape_date
ASusE5qjoAg,東海オンエア,2019-05-31T11:58:15Z,UCutJqz56653xV2wwSvut_hQ,【目指せ商品化】文理対抗！ガチンコボードゲーム作り対決！,東海オンエアってもう｢チャンネル登録してください｣とか｢高評価よろしくお願いします｣とか言わなくなっちゃったけど、やっぱり言ったほうがいいってばよ？ チャンネル登録 ...,"{'default': {'url': 'https://i.ytimg.com/vi/ASusE5qjoAg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ASusE5qjoAg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ASusE5qjoAg/hqdefault.jpg', 'width': 480, 'height': 360}}",4931938,127705,1871,0,4432,20210621
GzPq9KfVIj8,東海オンエア,2019-06-01T10:40:40Z,UCutJqz56653xV2wwSvut_hQ,【理系編】文理対抗！ガチンコボードゲーム作り対決！,語尾が戻ってきました。うれしいです。 ｢だってばよ｣時代は、概要欄も一言くらいにとどめていたのですが、何も拗ねていたわけではありません。 概要欄や、僕の個人 ...,"{'default': {'url': 'https://i.ytimg.com/vi/GzPq9KfVIj8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GzPq9KfVIj8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GzPq9KfVIj8/hqdefault.jpg', 'width': 480, 'height': 360}}",4828320,180977,1573,0,5013,20210621
SgZzIrugEnU,すごろくや公式チャンネル,2019-10-03T15:59:53Z,UC-eApqGqN0N_S2s2ARJgt-A,すごろくやCM「ボードゲーム、おうちでやろう。」編,Credits: Director : 清水貴栄 (DRAWING AND MANUAL) Art Designer : 鈴木友唯 (DRAWING AND MANUAL) Cast : 駒木根心捺 相川裕滋 Cinematographer : 佐藤 ...,"{'default': {'url': 'https://i.ytimg.com/vi/SgZzIrugEnU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SgZzIrugEnU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SgZzIrugEnU/hqdefault.jpg', 'width': 480, 'height': 360}}",2717738,102,12,0,2,20210621
BNv7zbORfVM,ジャニーズJr.チャンネル,2019-08-07T12:45:00Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 【ボードゲーム】ベストアクトで演技力対決してみた！,どうもSnow Manです！ 今回はボードゲームをやりまぁす。挑戦したゲームは、演技力が試される「ベストアクト」！ 与えられたお題に対して、声と表情だけで演じきってもらい ...,"{'default': {'url': 'https://i.ytimg.com/vi/BNv7zbORfVM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BNv7zbORfVM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BNv7zbORfVM/hqdefault.jpg', 'width': 480, 'height': 360}}",2689251,,,0,3639,20210621
1y4_v6PnsOE,Snow Man,2020-05-13T10:30:00Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「リモートでボードゲームに挑戦」みんな顔が黒くなった！,２年ぶりにあのゲームをやってみました。 しかもリモートスタイルで！ するとみんな...とんでもない顔になっちゃいました！ Snow Man オフィシャルサイト ...,"{'default': {'url': 'https://i.ytimg.com/vi/1y4_v6PnsOE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1y4_v6PnsOE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1y4_v6PnsOE/hqdefault.jpg', 'width': 480, 'height': 360}}",2414531,,,0,8896,20210621
E_A4gxbFYQQ,Fischer's-フィッシャーズ-,2020-07-18T12:13:15Z,UCibEhpu5HP45-w7Bq1ZIulw,【天才】いきなりボードゲームを作ってもらったら神作品が生まれた！？,【Fischer's-フィッシャーズ-】 出来そうで出来なさそう、くだらない事、好きなことをする…。 中学三年の頃、「楽しい」を動画にすることから始まった古くて幼稚園、同い年の ...,"{'default': {'url': 'https://i.ytimg.com/vi/E_A4gxbFYQQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/E_A4gxbFYQQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/E_A4gxbFYQQ/hqdefault.jpg', 'width': 480, 'height': 360}}",2001081,25050,637,0,1600,20210621
3wjQlKc5vf0,Snow Man,2020-10-21T08:00:00Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「カードゲームヨガ王は誰？」みんなで斬新ポーズ!!,どうも！Snow Manです。 久々にボードゲームやりま〜した！ カードゲームでヨガをする「YOGI」で遊んでみました。 結構盛り上がりました！そして、また一人の王が誕生しま ...,"{'default': {'url': 'https://i.ytimg.com/vi/3wjQlKc5vf0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3wjQlKc5vf0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3wjQlKc5vf0/hqdefault.jpg', 'width': 480, 'height': 360}}",1759281,,,0,5129,20210621
_xcgLglCPjA,東海オンエアの控え室,2019-06-21T14:44:49Z,UCynIYcsBwTrwBIecconPN2A,ピザ反省会 ＆ 文理対抗ボードゲーム大会結果発表,水溜りボンドの活躍を見ると、｢グッズ作らなきゃなぁ｣｢イベントやらなきゃなぁ｣といつも思います。トミーの政治力はマジですごいです。見習わなくては。 ということで、東海 ...,"{'default': {'url': 'https://i.ytimg.com/vi/_xcgLglCPjA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_xcgLglCPjA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_xcgLglCPjA/hqdefault.jpg', 'width': 480, 'height': 360}}",1660712,19524,371,0,1816,20210621
OL3m2ZbKb1o,QuizKnock,2019-06-29T08:00:02Z,UCQ_MqAw18jFTlBB-f8BP7dw,世界最古のボードゲームが超簡単なのに奥が深い！！【紀元前アフリカのボドゲ】,東大生が世界最古のボドゲ「マンカラ」をやってみた ルールは超シンプルなのになんだこの奥深さ… 少しずつ解析して必勝パターンに導けるのは一体誰？ 今日の一問の ...,"{'default': {'url': 'https://i.ytimg.com/vi/OL3m2ZbKb1o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OL3m2ZbKb1o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OL3m2ZbKb1o/hqdefault.jpg', 'width': 480, 'height': 360}}",1583879,21517,348,0,1925,20210621
5iKr2bWVvzY,ジャニーズJr.チャンネル,2018-05-02T11:00:01Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 超盛り上がるボードゲーム【クイズいいセン行きまSHOW!】やってみた,どうもSnow Manです！ 今回は、話題のボードゲーム「クイズいいセン行きSHOW!」をメンバー６人で遊びました！ このゲームは、数字で答えるクイズゲームで、出題されるの ...,"{'default': {'url': 'https://i.ytimg.com/vi/5iKr2bWVvzY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5iKr2bWVvzY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5iKr2bWVvzY/hqdefault.jpg', 'width': 480, 'height': 360}}",1567747,,,0,1589,20210621
